Data i Godzina;Parking;Wolne miejsca
2026-04-30 06:31:04;P+R Pachońskiego;47
2026-04-30 06:31:04;P+R Krowodrza Górka;78
2026-04-30 06:31:04;P+R Czerwone Maki;151
2026-04-30 06:31:04;P+R Mały Płaszów;141
2026-04-30 06:31:04;P+R Nowy Bieżanów;68
2026-04-30 06:31:04;P+R Kurdwanów;130
2026-04-30 07:00:41;P+R Górka Narodowa;382
2026-04-30 07:00:41;P+R Pachońskiego;15
2026-04-30 07:00:41;P+R Krowodrza Górka;54
2026-04-30 07:00:41;P+R Czerwone Maki;135
2026-04-30 07:00:41;P+R Mały Płaszów;135
2026-04-30 07:00:41;P+R Nowy Bieżanów;47
2026-04-30 07:00:41;P+R Kurdwanów;113
2026-04-30 07:30:43;P+R Górka Narodowa;342
2026-04-30 07:30:43;P+R Pachońskiego;0
2026-04-30 07:30:43;P+R Krowodrza Górka;25
2026-04-30 07:30:43;P+R Czerwone Maki;105
2026-04-30 07:30:43;P+R Mały Płaszów;125
2026-04-30 07:30:43;P+R Nowy Bieżanów;23
2026-04-30 07:30:43;P+R Kurdwanów;104
2026-04-30 08:00:57;P+R Górka Narodowa;311
2026-04-30 08:00:57;P+R Pachońskiego;0
2026-04-30 08:00:57;P+R Krowodrza Górka;10
2026-04-30 08:00:57;P+R Czerwone Maki;92
2026-04-30 08:00:57;P+R Mały Płaszów;117
2026-04-30 08:00:57;P+R Nowy Bieżanów;18
2026-04-30 08:00:57;P+R Kurdwanów;92
2026-04-30 08:30:48;P+R Górka Narodowa;280
2026-04-30 08:30:48;P+R Pachońskiego;0
2026-04-30 08:30:48;P+R Krowodrza Górka;1
2026-04-30 08:30:48;P+R Czerwone Maki;83
2026-04-30 08:30:48;P+R Mały Płaszów;111
2026-04-30 08:30:48;P+R Nowy Bieżanów;11
2026-04-30 08:30:48;P+R Kurdwanów;75
2026-04-30 09:00:43;P+R Górka Narodowa;263
2026-04-30 09:00:43;P+R Pachońskiego;0
2026-04-30 09:00:43;P+R Krowodrza Górka;0
2026-04-30 09:00:43;P+R Czerwone Maki;70
2026-04-30 09:00:43;P+R Mały Płaszów;110
2026-04-30 09:00:43;P+R Nowy Bieżanów;7
2026-04-30 09:00:43;P+R Kurdwanów;73
2026-04-30 09:30:50;P+R Górka Narodowa;251
2026-04-30 09:30:50;P+R Pachońskiego;0
2026-04-30 09:30:50;P+R Krowodrza Górka;18
2026-04-30 09:30:50;P+R Czerwone Maki;56
2026-04-30 09:30:50;P+R Mały Płaszów;103
2026-04-30 09:30:50;P+R Nowy Bieżanów;4
2026-04-30 09:30:50;P+R Kurdwanów;70
2026-04-30 10:00:51;P+R Górka Narodowa;244
2026-04-30 10:00:51;P+R Pachońskiego;0
2026-04-30 10:00:51;P+R Krowodrza Górka;23
2026-04-30 10:00:51;P+R Czerwone Maki;55
2026-04-30 10:00:51;P+R Mały Płaszów;103
2026-04-30 10:00:51;P+R Nowy Bieżanów;3
2026-04-30 10:00:51;P+R Kurdwanów;61
